review_id,review_text,bank_name,review_date,source,rating,sentiment_label,sentiment_score,themes
18,🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,Bank of Abyssinia,2025-11-15,Google Play,5,POSITIVE,0.8251611590385437,Account Access Issues
19,when trying to activate the app it keeps on loading on the security questions page. It has been two days,Bank of Abyssinia,2025-11-13,Google Play,1,NEGATIVE,0.9952510595321655,General/Other
20,fast and simple,Bank of Abyssinia,2025-11-11,Google Play,5,NEUTRAL,0.0,General/Other
21,best of best,Bank of Abyssinia,2025-11-10,Google Play,5,POSITIVE,0.9997496008872986,General/Other
22,Worest Banking App Ever I seen. Fake App Bad Better to Leave,Bank of Abyssinia,2025-11-10,Google Play,1,NEGATIVE,0.9993888139724731,General/Other
23,good,Bank of Abyssinia,2025-11-10,Google Play,4,POSITIVE,0.9998161196708679,General/Other
24,"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",Bank of Abyssinia,2025-11-08,Google Play,1,NEGATIVE,0.9947031140327454,Transaction Performance
25,Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,Bank of Abyssinia,2025-11-08,Google Play,5,NEGATIVE,0.8848851919174194,"Customer Support, User Interface & Experience"
26,best app,Bank of Abyssinia,2025-11-08,Google Play,5,POSITIVE,0.999686598777771,General/Other
27,Best app,Bank of Abyssinia,2025-11-07,Google Play,5,POSITIVE,0.999686598777771,General/Other
28,"Barely works, it always fails to connect",Bank of Abyssinia,2025-11-07,Google Play,1,NEGATIVE,0.9997532963752747,Transaction Performance
29,my fav app,Bank of Abyssinia,2025-11-07,Google Play,5,POSITIVE,0.9846561551094055,General/Other
30,this app launch time is so long also has dozen bugs in addition it's has been long time get update,Bank of Abyssinia,2025-11-05,Google Play,1,NEUTRAL,0.0,Reliability / Bugs
31,very nice,Bank of Abyssinia,2025-11-04,Google Play,5,POSITIVE,0.9998563528060913,General/Other
32,"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",Bank of Abyssinia,2025-11-04,Google Play,3,NEGATIVE,0.9985816478729248,General/Other
33,I like,Bank of Abyssinia,2025-11-02,Google Play,5,POSITIVE,0.9998149275779724,General/Other
34,ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,Bank of Abyssinia,2025-11-01,Google Play,1,NEUTRAL,0.0,General/Other
35,i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,Bank of Abyssinia,2025-10-30,Google Play,1,NEGATIVE,0.9083437323570251,Transaction Performance
36,"the worst app ever,",Bank of Abyssinia,2025-10-30,Google Play,1,NEGATIVE,0.9997932314872742,General/Other
37,better,Bank of Abyssinia,2025-10-29,Google Play,5,POSITIVE,0.999264657497406,General/Other
38,"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",Bank of Abyssinia,2025-10-28,Google Play,1,NEUTRAL,0.0,Transaction Performance
39,this app can't open? what is problem? please solve my problem?,Bank of Abyssinia,2025-10-28,Google Play,1,NEGATIVE,0.9996218681335449,General/Other
40,kiyaa makonn,Bank of Abyssinia,2025-10-27,Google Play,5,NEUTRAL,0.0,General/Other
41,very very lazy app,Bank of Abyssinia,2025-10-26,Google Play,1,NEGATIVE,0.9996856451034546,General/Other
42,telebirr remittance,Bank of Abyssinia,2025-10-24,Google Play,5,NEUTRAL,0.0,General/Other
43,The best bank in 🇪🇹,Bank of Abyssinia,2025-10-23,Google Play,5,POSITIVE,0.9998179078102112,General/Other
44,its good,Bank of Abyssinia,2025-10-22,Google Play,5,POSITIVE,0.9998385906219482,General/Other
45,the worst app in my financial experience.,Bank of Abyssinia,2025-10-22,Google Play,1,NEGATIVE,0.9997914433479309,General/Other
46,good for mb appliciation,Bank of Abyssinia,2025-10-21,Google Play,5,POSITIVE,0.9943337440490723,General/Other
47,the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,Bank of Abyssinia,2025-10-20,Google Play,1,NEGATIVE,0.9997623562812805,Transaction Performance
48,try to easy network,Bank of Abyssinia,2025-10-17,Google Play,4,NEGATIVE,0.9987332224845886,General/Other
49,hussen hassen umer,Bank of Abyssinia,2025-10-16,Google Play,5,NEUTRAL,0.0,General/Other
50,"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",Bank of Abyssinia,2025-10-16,Google Play,2,NEGATIVE,0.9988431930541992,User Interface & Experience
51,an exceptional banking app.,Bank of Abyssinia,2025-10-16,Google Play,5,NEUTRAL,0.0,General/Other
52,alhamdulilah,Bank of Abyssinia,2025-10-11,Google Play,5,NEUTRAL,0.0,General/Other
53,poor,Bank of Abyssinia,2025-10-11,Google Play,5,NEGATIVE,0.9997912049293518,General/Other
54,Best of best,Bank of Abyssinia,2025-10-09,Google Play,5,POSITIVE,0.9997496008872986,General/Other
55,from the last week updates the app is not working Please check the problems,Bank of Abyssinia,2025-10-08,Google Play,1,NEGATIVE,0.9996919631958008,General/Other
56,It's always crushing,Bank of Abyssinia,2025-10-08,Google Play,1,NEGATIVE,0.9993805885314941,General/Other
57,office branches have to improve their services please,Bank of Abyssinia,2025-10-07,Google Play,4,POSITIVE,0.6649664640426636,Customer Support
58,♥️♥️,Bank of Abyssinia,2025-10-05,Google Play,5,POSITIVE,0.9437573552131653,General/Other
59,Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,Bank of Abyssinia,2025-10-05,Google Play,1,NEGATIVE,0.9988381266593933,Reliability / Bugs
60,it needs a timely update,Bank of Abyssinia,2025-10-03,Google Play,5,NEUTRAL,0.0,General/Other
61,"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",Bank of Abyssinia,2025-10-01,Google Play,3,NEGATIVE,0.9997054934501648,Transaction Performance
62,Like,Bank of Abyssinia,2025-10-01,Google Play,5,POSITIVE,0.9910564422607422,General/Other
63,I can't type my otp on it.,Bank of Abyssinia,2025-10-01,Google Play,1,NEUTRAL,0.0,Account Access Issues
64,"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",Bank of Abyssinia,2025-10-01,Google Play,1,NEGATIVE,0.9977109432220459,General/Other
65,jaajja,Bank of Abyssinia,2025-09-30,Google Play,4,NEUTRAL,0.0,General/Other
66,I love this bank the best experience ever.,Bank of Abyssinia,2025-09-28,Google Play,5,POSITIVE,0.9998602867126465,General/Other
67,"Nothing has been improved, it doesn't work like the previous version.",Bank of Abyssinia,2025-09-25,Google Play,1,NEGATIVE,0.9997023940086365,General/Other
68,easy and fast,Bank of Abyssinia,2025-09-24,Google Play,5,POSITIVE,0.9995583891868591,General/Other
69,Great,Bank of Abyssinia,2025-09-20,Google Play,5,POSITIVE,0.9998630285263062,General/Other
70,mobile banking,Bank of Abyssinia,2025-09-19,Google Play,5,NEUTRAL,0.0,General/Other
71,very good,Bank of Abyssinia,2025-09-18,Google Play,5,POSITIVE,0.9998520612716675,General/Other
72,😎,Bank of Abyssinia,2025-09-18,Google Play,5,NEGATIVE,0.6970566511154175,General/Other
73,"need alot of connection, chooses device, very lug even when there is connection",Bank of Abyssinia,2025-09-17,Google Play,1,NEUTRAL,0.0,General/Other
74,On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,Bank of Abyssinia,2025-09-15,Google Play,1,NEGATIVE,0.9964402318000793,Transaction Performance
75,since the last update i can open the app crashes a lot and omg its being very slow opening and loading,Bank of Abyssinia,2025-09-15,Google Play,2,NEUTRAL,0.0,"Reliability / Bugs, Transaction Performance"
76,none,Bank of Abyssinia,2025-09-14,Google Play,5,NEUTRAL,0.0,General/Other
77,good,Bank of Abyssinia,2025-09-13,Google Play,2,POSITIVE,0.9998161196708679,General/Other
78,good,Bank of Abyssinia,2025-09-12,Google Play,5,POSITIVE,0.9998161196708679,General/Other
79,very good app i ever used,Bank of Abyssinia,2025-09-12,Google Play,5,POSITIVE,0.9998385906219482,General/Other
80,its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,Bank of Abyssinia,2025-09-11,Google Play,4,NEGATIVE,0.9979867935180664,General/Other
81,zedo,Bank of Abyssinia,2025-09-11,Google Play,5,NEUTRAL,0.0,General/Other
82,please open my mobile app,Bank of Abyssinia,2025-09-10,Google Play,5,POSITIVE,0.9873003363609314,General/Other
83,it doesn't open,Bank of Abyssinia,2025-09-10,Google Play,1,NEUTRAL,0.0,General/Other
84,Very Good,Bank of Abyssinia,2025-09-09,Google Play,5,POSITIVE,0.9998520612716675,General/Other
85,masha alla,Bank of Abyssinia,2025-09-08,Google Play,5,NEUTRAL,0.0,General/Other
86,Best banking transaction application in Ethiopia !,Bank of Abyssinia,2025-09-05,Google Play,5,POSITIVE,0.9996905326843262,General/Other
87,السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,Bank of Abyssinia,2025-09-04,Google Play,5,NEUTRAL,0.0,General/Other
88,tamaam kamal,Bank of Abyssinia,2025-09-04,Google Play,1,NEUTRAL,0.0,General/Other
89,በጣም ሐሪፍ,Bank of Abyssinia,2025-09-03,Google Play,5,NEUTRAL,0.0,General/Other
90,great 👍,Bank of Abyssinia,2025-09-02,Google Play,5,POSITIVE,0.9997692704200745,General/Other
91,goof,Bank of Abyssinia,2025-09-01,Google Play,4,NEUTRAL,0.0,General/Other
92,absiniya banki,Bank of Abyssinia,2025-08-29,Google Play,5,NEUTRAL,0.0,General/Other
93,has issue after installation and i think it doesn't work with tecno common 30,Bank of Abyssinia,2025-08-26,Google Play,1,NEUTRAL,0.0,General/Other
94,One of the best in this business,Bank of Abyssinia,2025-08-25,Google Play,5,POSITIVE,0.9998694658279419,General/Other
95,Excellent,Bank of Abyssinia,2025-08-20,Google Play,5,POSITIVE,0.9998434782028198,General/Other
96,besat🥰,Bank of Abyssinia,2025-08-19,Google Play,5,NEGATIVE,0.6970566511154175,General/Other
97,unlimited experience,Bank of Abyssinia,2025-08-18,Google Play,5,NEUTRAL,0.0,General/Other
98,"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",Bank of Abyssinia,2025-08-17,Google Play,4,NEGATIVE,0.9991239905357361,"Account Access Issues, Reliability / Bugs, Transaction Performance"
99,very nice mobile banking app my favourite,Bank of Abyssinia,2025-08-16,Google Play,5,POSITIVE,0.9997608065605164,General/Other
100,"it almost never boots up!!! and even if it did, it crashes immediately",Bank of Abyssinia,2025-08-15,Google Play,1,NEUTRAL,0.0,Reliability / Bugs
101,best apps,Bank of Abyssinia,2025-08-15,Google Play,5,POSITIVE,0.999784529209137,General/Other
102,the worst app ever to exist in a bank history,Bank of Abyssinia,2025-08-15,Google Play,1,NEGATIVE,0.9997841715812683,General/Other
103,thank you,Bank of Abyssinia,2025-08-14,Google Play,5,POSITIVE,0.9998352527618408,General/Other
104,Best mobile app in the country,Bank of Abyssinia,2025-08-14,Google Play,5,POSITIVE,0.999710738658905,General/Other
105,not fast,Bank of Abyssinia,2025-08-12,Google Play,2,NEUTRAL,0.0,General/Other
106,keeps freezing at the front page.,Bank of Abyssinia,2025-08-10,Google Play,1,NEGATIVE,0.9948282837867737,General/Other
107,it is not working on redminote 11 pro+ pls fix it,Bank of Abyssinia,2025-08-08,Google Play,1,NEGATIVE,0.9996861219406128,General/Other
108,abseniya bank app,Bank of Abyssinia,2025-08-08,Google Play,5,NEUTRAL,0.0,General/Other
109,good,Bank of Abyssinia,2025-08-05,Google Play,5,POSITIVE,0.9998161196708679,General/Other
110,yes goode app,Bank of Abyssinia,2025-08-03,Google Play,5,POSITIVE,0.9997490048408508,General/Other
111,Great App,Bank of Abyssinia,2025-08-02,Google Play,5,POSITIVE,0.999821126461029,General/Other
112,1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,Bank of Abyssinia,2025-08-02,Google Play,1,NEGATIVE,0.999749481678009,"Account Access Issues, Customer Support, Reliability / Bugs, Transaction Performance, User Interface & Experience"
113,ረጀብነሱ,Bank of Abyssinia,2025-07-31,Google Play,1,NEUTRAL,0.0,General/Other
114,The Worst Mobile Banking App.,Bank of Abyssinia,2025-07-31,Google Play,1,NEGATIVE,0.9997994303703308,General/Other
115,giod,Bank of Abyssinia,2025-07-30,Google Play,5,NEUTRAL,0.0,General/Other
116,best bank in ethiopia,Bank of Abyssinia,2025-07-29,Google Play,5,POSITIVE,0.999733030796051,General/Other
117,waqayyoo,Bank of Abyssinia,2025-07-28,Google Play,5,NEUTRAL,0.0,General/Other
118,please is not working,Bank of Abyssinia,2025-07-27,Google Play,2,NEGATIVE,0.9997643828392029,General/Other
119,nothing when I need to install the Apk it say that re-up date,Bank of Abyssinia,2025-07-25,Google Play,5,NEUTRAL,0.0,General/Other
120,I can log in from any where,Bank of Abyssinia,2025-07-23,Google Play,5,NEUTRAL,0.0,General/Other
121,😇,Bank of Abyssinia,2025-07-21,Google Play,3,NEGATIVE,0.6970566511154175,General/Other
122,no proplem,Bank of Abyssinia,2025-07-20,Google Play,5,NEGATIVE,0.991222620010376,General/Other
123,👍👍👍,Bank of Abyssinia,2025-07-20,Google Play,5,NEUTRAL,0.0,General/Other
124,excellent app,Bank of Abyssinia,2025-07-18,Google Play,5,POSITIVE,0.9998356103897095,General/Other
125,good work,Bank of Abyssinia,2025-07-15,Google Play,5,POSITIVE,0.9998413324356079,General/Other
126,☹️,Bank of Abyssinia,2025-07-15,Google Play,5,NEGATIVE,0.6970566511154175,General/Other
127,excellent,Bank of Abyssinia,2025-07-14,Google Play,5,POSITIVE,0.9998434782028198,General/Other
128,Great BoA,Bank of Abyssinia,2025-07-14,Google Play,5,POSITIVE,0.9992689490318298,General/Other
129,Good,Bank of Abyssinia,2025-07-14,Google Play,5,POSITIVE,0.9998161196708679,General/Other
130,Okay,Bank of Abyssinia,2025-07-13,Google Play,4,POSITIVE,0.9997709393501282,General/Other
131,not working,Bank of Abyssinia,2025-07-12,Google Play,1,NEUTRAL,0.0,General/Other
132,This App is Getting worse and worse with every update,Bank of Abyssinia,2025-07-11,Google Play,2,NEGATIVE,0.999568521976471,General/Other
133,ምርጥ ነው,Bank of Abyssinia,2025-07-10,Google Play,1,NEUTRAL,0.0,General/Other
134,nice,Bank of Abyssinia,2025-07-10,Google Play,5,POSITIVE,0.9998552799224854,General/Other
135,Best app,Bank of Abyssinia,2025-07-08,Google Play,5,POSITIVE,0.999686598777771,General/Other
136,meku,Bank of Abyssinia,2025-07-07,Google Play,5,NEUTRAL,0.0,General/Other
137,nice,Bank of Abyssinia,2025-07-04,Google Play,4,POSITIVE,0.9998552799224854,General/Other
138,awasome app go a head,Bank of Abyssinia,2025-07-04,Google Play,5,NEUTRAL,0.0,General/Other
139,😎,Bank of Abyssinia,2025-07-03,Google Play,5,NEGATIVE,0.6970566511154175,General/Other
140,it sucks as hell. it crashes most of the time and takes a long time to load .,Bank of Abyssinia,2025-07-03,Google Play,1,NEGATIVE,0.9994389414787292,Reliability / Bugs
141,"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",Bank of Abyssinia,2025-07-02,Google Play,3,NEGATIVE,0.9973018169403076,Reliability / Bugs
142,Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,Bank of Abyssinia,2025-07-01,Google Play,5,NEGATIVE,0.9851245284080505,General/Other
143,wow,Bank of Abyssinia,2025-07-01,Google Play,5,POSITIVE,0.999592125415802,General/Other
144,"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",Bank of Abyssinia,2025-06-27,Google Play,1,NEGATIVE,0.9996988773345947,General/Other
145,amazing Banks App👌👌,Bank of Abyssinia,2025-06-25,Google Play,3,POSITIVE,0.9998063445091248,General/Other
146,goof,Bank of Abyssinia,2025-06-25,Google Play,5,NEUTRAL,0.0,General/Other
147,good App fore me,Bank of Abyssinia,2025-06-25,Google Play,5,POSITIVE,0.9998444318771362,General/Other
148,"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",Bank of Abyssinia,2025-06-24,Google Play,1,NEUTRAL,0.0,General/Other
149,fantastic,Bank of Abyssinia,2025-06-22,Google Play,5,POSITIVE,0.9998743534088135,General/Other
150,👍,Bank of Abyssinia,2025-06-21,Google Play,4,NEUTRAL,0.0,General/Other
151,it's nice to use.,Bank of Abyssinia,2025-06-21,Google Play,5,POSITIVE,0.999835729598999,General/Other
152,app doesn't start,Bank of Abyssinia,2025-06-21,Google Play,1,NEUTRAL,0.0,General/Other
153,Excellent application,Bank of Abyssinia,2025-06-18,Google Play,5,POSITIVE,0.9998571872711182,General/Other
154,its very bad app its very slow,Bank of Abyssinia,2025-06-17,Google Play,1,NEGATIVE,0.9998086094856262,Transaction Performance
155,ብዙዬ ሺዋየ በለጠ,Bank of Abyssinia,2025-06-15,Google Play,1,NEUTRAL,0.0,General/Other
156,good,Bank of Abyssinia,2025-06-15,Google Play,1,POSITIVE,0.9998161196708679,General/Other
157,Good job!,Bank of Abyssinia,2025-06-13,Google Play,5,POSITIVE,0.9998481273651123,General/Other
158,best financial app.,Bank of Abyssinia,2025-06-12,Google Play,5,POSITIVE,0.9997761845588684,General/Other
159,ቆንጆ ነው በርቱ,Bank of Abyssinia,2025-06-11,Google Play,5,NEUTRAL,0.0,General/Other
160,the worst app humans ever created,Bank of Abyssinia,2025-06-09,Google Play,1,NEGATIVE,0.9998008608818054,General/Other
161,it's not working,Bank of Abyssinia,2025-06-05,Google Play,3,NEUTRAL,0.0,General/Other
162,"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",Bank of Abyssinia,2025-06-03,Google Play,1,NEGATIVE,0.9994151592254639,"Account Access Issues, Reliability / Bugs"
163,exceptional,Bank of Abyssinia,2025-06-03,Google Play,5,NEUTRAL,0.0,General/Other
164,BoA Mobile good bank,Bank of Abyssinia,2025-06-02,Google Play,5,POSITIVE,0.9984728693962097,General/Other
165,this is worest app 24/7 loading,Bank of Abyssinia,2025-06-01,Google Play,1,NEUTRAL,0.0,General/Other
166,BoA system is confartable,Bank of Abyssinia,2025-06-01,Google Play,5,NEUTRAL,0.0,General/Other
167,"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",Bank of Abyssinia,2025-05-27,Google Play,1,NEGATIVE,0.9998049139976501,General/Other
168,Good service.,Bank of Abyssinia,2025-05-25,Google Play,3,POSITIVE,0.9998533725738525,Customer Support
169,the app crush frequently,Bank of Abyssinia,2025-05-24,Google Play,1,NEGATIVE,0.998525083065033,General/Other
170,good,Bank of Abyssinia,2025-05-22,Google Play,5,POSITIVE,0.9998161196708679,General/Other
171,You guys keeps getting worst,Bank of Abyssinia,2025-05-22,Google Play,1,NEGATIVE,0.9997075200080872,General/Other
172,good,Bank of Abyssinia,2025-05-21,Google Play,5,POSITIVE,0.9998161196708679,General/Other
173,"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",Bank of Abyssinia,2025-05-21,Google Play,1,NEGATIVE,0.9990266561508179,"Reliability / Bugs, Transaction Performance, User Interface & Experience"
174,BoA,Bank of Abyssinia,2025-05-20,Google Play,2,NEUTRAL,0.0,General/Other
175,good,Bank of Abyssinia,2025-05-20,Google Play,5,POSITIVE,0.9998161196708679,General/Other
176,but not opening on android,Bank of Abyssinia,2025-05-19,Google Play,4,NEUTRAL,0.0,General/Other
177,Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,Bank of Abyssinia,2025-05-18,Google Play,1,NEGATIVE,0.9997984766960144,General/Other
178,amazing,Bank of Abyssinia,2025-05-18,Google Play,5,POSITIVE,0.999875545501709,General/Other
179,excellent,Bank of Abyssinia,2025-05-15,Google Play,5,POSITIVE,0.9998434782028198,General/Other
180,"this app does no work on Samsung a51, it just gives a preview of the logo",Bank of Abyssinia,2025-05-11,Google Play,1,NEGATIVE,0.9992283582687378,General/Other
181,nice,Bank of Abyssinia,2025-05-10,Google Play,5,POSITIVE,0.9998552799224854,General/Other
182,"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",Bank of Abyssinia,2025-05-10,Google Play,5,NEGATIVE,0.9994921684265137,General/Other
183,Best app,Bank of Abyssinia,2025-05-09,Google Play,5,POSITIVE,0.999686598777771,General/Other
184,liking this application good 👍,Bank of Abyssinia,2025-05-07,Google Play,5,POSITIVE,0.9996829032897949,General/Other
185,"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",Bank of Abyssinia,2025-05-06,Google Play,1,NEGATIVE,0.9989790916442871,"Account Access Issues, Transaction Performance"
186,good,Bank of Abyssinia,2025-05-06,Google Play,5,POSITIVE,0.9998161196708679,General/Other
187,good,Bank of Abyssinia,2025-05-02,Google Play,5,POSITIVE,0.9998161196708679,General/Other
188,good,Bank of Abyssinia,2025-04-30,Google Play,4,POSITIVE,0.9998161196708679,General/Other
189,good,Bank of Abyssinia,2025-04-30,Google Play,4,POSITIVE,0.9998161196708679,General/Other
190,wow,Bank of Abyssinia,2025-04-28,Google Play,5,POSITIVE,0.999592125415802,General/Other
191,it's really good 👍,Bank of Abyssinia,2025-04-23,Google Play,5,POSITIVE,0.9998701810836792,General/Other
192,Bad app . it stuck when you open and noting WORKS.,Bank of Abyssinia,2025-04-23,Google Play,1,NEGATIVE,0.9995198249816895,General/Other
193,"the app isn't working after it asked me the password it starts loading, but it doesn't open",Bank of Abyssinia,2025-04-20,Google Play,3,NEUTRAL,0.0,Account Access Issues
194,Best,Bank of Abyssinia,2025-04-19,Google Play,2,POSITIVE,0.9997941851615906,General/Other
195,It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,Bank of Abyssinia,2025-04-19,Google Play,1,NEGATIVE,0.9996699094772339,Transaction Performance
196,yideg,Bank of Abyssinia,2025-04-18,Google Play,1,NEUTRAL,0.0,General/Other
197,great boa,Bank of Abyssinia,2025-04-10,Google Play,5,POSITIVE,0.9992689490318298,General/Other
198,Best,Bank of Abyssinia,2025-04-10,Google Play,5,POSITIVE,0.9997941851615906,General/Other
199,boa of mobile backing,Bank of Abyssinia,2025-04-09,Google Play,5,NEUTRAL,0.0,General/Other
200,nice,Bank of Abyssinia,2025-04-09,Google Play,5,POSITIVE,0.9998552799224854,General/Other
201,faster bank of Abissinya,Bank of Abyssinia,2025-04-08,Google Play,5,NEUTRAL,0.0,General/Other
202,i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,Bank of Abyssinia,2025-04-08,Google Play,1,NEGATIVE,0.9996716976165771,Reliability / Bugs
203,it just doesn't work...so frustrating,Bank of Abyssinia,2025-04-07,Google Play,1,NEGATIVE,0.999774158000946,General/Other
204,like,Bank of Abyssinia,2025-04-06,Google Play,5,POSITIVE,0.9910564422607422,General/Other
205,it's not work correctly... you must have update it,Bank of Abyssinia,2025-04-06,Google Play,1,NEUTRAL,0.0,General/Other
206,"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",Bank of Abyssinia,2025-04-04,Google Play,5,POSITIVE,0.9575353264808655,"Account Access Issues, Transaction Performance"
207,after i typed in my password it says successfully logged out ...and goes back to the first page,Bank of Abyssinia,2025-04-04,Google Play,2,NEGATIVE,0.5856848359107971,Account Access Issues
208,good but they don't update enough don't add new things,Bank of Abyssinia,2025-04-04,Google Play,3,NEGATIVE,0.9693678617477417,General/Other
209,very good,Bank of Abyssinia,2025-04-03,Google Play,5,POSITIVE,0.9998520612716675,General/Other
210,thank you,Bank of Abyssinia,2025-04-02,Google Play,5,POSITIVE,0.9998352527618408,General/Other
211,it doesn't work period z slowest mobile banking ever i would rather use *815#,Bank of Abyssinia,2025-04-01,Google Play,1,NEUTRAL,0.0,Transaction Performance
212,"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",Bank of Abyssinia,2025-03-31,Google Play,1,NEUTRAL,0.0,Customer Support
